,id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
551,7497,Marlin,POND,marlin,17,2020-12-22T00:00:00.000Z,10000000000.0,428314800.0,3184000001.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x57b946008913b82e4df85f501cbaed910e58d26c'}",552,0.02748953351435,2422160.20174939,-0.36904225,-5.16108882,33.71677176,11774174.049292117
552,4275,Cocos-BCX,COCOS,cocos-bcx,15,2019-08-21T00:00:00.000Z,100000000000.0,39326586220.0,100000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0c6f5f7d555e7518f6841a79436bd2b1eef03381'}",553,0.00029707025245,1211008.31229917,-5.71371104,-6.55571386,17.75379487,11682758.896372091
553,5908,dKargo,DKA,dkargo,10,2020-07-27T00:00:00.000Z,,483373351.0,5000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5dc60C4D5e75D22588FA17fFEB90A63E535efCE0'}",554,0.02386782810509,3795500.10915251,-1.26433703,-6.56322141,0.02035252,11537072.052249333
554,3154,Davinci Coin,DAC,davinci-coin,4,2018-08-13T00:00:00.000Z,,4599901498.799675,8800000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xaad54c9f27b876d2538455dda69207279ff673a5'}",555,0.00247723177965,816351.98982247,-5.79452948,-11.23056589,7.92706538,11395022.17608622
555,7048,Wing,WING,wing,10,2020-09-16T00:00:00.000Z,,851090.15871667,2351090.09871667,,556,13.3567111648277,3402733.29339355,-3.16819335,-9.30975561,-0.96516619,11367765.425205925
556,2503,DMarket,DMT,dmarket,2,2018-02-03T00:00:00.000Z,,56921773.17195558,56921773.1719715,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2ccbff3a042c68716ed2a2cb0c544a9f1d1935e1'}",557,0.19940772046233,4131567.82129635,-5.20965055,-11.40002923,0.23591366,11350641.032893473
557,1954,Moeda Loyalty Points,MDA,moeda-loyalty-points,5,2017-09-11T00:00:00.000Z,,19628888.0,19628888.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x51db5ad35c671a87207d88fc11d593ac0c8415bd'}",558,0.57447743118948,706358.75254213,-5.71249988,-9.87524604,1.91344979,11276353.15534601
558,5350,Proton,XPR,proton,9,2020-04-06T00:00:00.000Z,10000000000.0,2391932121.3119,10000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xd7efb00d12c2c13131fd319336fdf952525da2af'}",559,0.00470161301926,2600097.09970109,-6.46505309,-9.50542882,24.81662147,11245939.20274622
559,2866,Sentinel Protocol,UPP,sentinel-protocol,7,2018-06-18T00:00:00.000Z,,441512615.25,500000000.00000006,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc86d054809623432210c107af2e3f619dcfbf652'}",560,0.0253424284335,4487879.86060155,-5.13098831,-12.90983242,-3.69335654,11189001.854460545
560,3667,Atomic Wallet Coin,AWC,atomic-wallet-coin,2,2019-01-04T00:00:00.000Z,,10603658.69200787,100000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xad22f63404f7305e4713ccbd4f296f34770513f4'}",561,1.0578851768527,54562.38289343,-6.78767078,-1.13293224,13.9283763,11217453.350680415
561,3978,Chromia,CHR,chromia,33,2019-05-28T00:00:00.000Z,1000000000.0,429652097.14041,471970667.472656,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2'}",562,0.02594368562258,4213754.76991204,-4.36113694,-12.34124191,17.487627,11146758.935293
562,5444,Cartesi,CTSI,cartesi,20,2020-04-23T00:00:00.000Z,,206466654.0,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d'}",563,0.05353198739096,6513965.47659128,-0.88328677,2.57431939,16.27882635,11052570.3185817
563,5084,PlayFuel,PLF,playfuel,29,2019-12-30T00:00:00.000Z,10000000000.0,500000000.0,10000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xaDA62f7CCd6af6cAcff04ACCBC4f56f3D4FFd4Ef'}",564,0.02262301997992,3171402.2400815,-3.61865434,-18.04806912,-26.78759915,11311509.98996
564,4173,Levolution,LEVL,levolution,4,2019-07-26T00:00:00.000Z,,65227460.1940077,311000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x09970aec766b6f3223aca9111555e99dc50ff13a'}",565,0.1671070753141,301267.16351596,-12.02017444,-19.75996998,8.13148672,10899970.103187503
565,3418,Metadium,META,metadium,8,2018-10-09T00:00:00.000Z,,1245430303.8600001,2000000000.0,,566,0.00891653819924,24157758.58299757,-2.043633,-5.40959605,-1.26961834,11104926.878858771
566,2410,SpaceChain,SPC,spacechain,6,2018-01-16T00:00:00.000Z,,378377039.39729977,462453522.286638,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x8069080a922834460c3a092fb2c1510224dc066b'}",567,0.02889216324554,10588.2452773,1.40293994,-1.7899467,13.53948176,10932131.190630905
567,2313,SIRIN LABS Token,SRN,sirin-labs-token,14,2017-12-28T00:00:00.000Z,,491820906.379,572166103.886,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25'}",568,0.02203474993778,2523813.13919285,-6.07857471,-12.93395411,-6.26099887,10837150.686233573
568,2900,Project Pai,PAI,project-pai,16,2018-07-05T00:00:00.000Z,,1496864696.7250428,1722557235.0,,569,0.00728789258707,244319.3408529,-1.41877726,-9.64151197,14.68899204,10908989.127109224
569,7320,Neutrino Token,NSBT,neutrino-system-base-token,3,2020-10-06T00:00:00.000Z,0.0,1603441.416053,1603441.416053,,570,6.71969916401363,547709.02387341,-5.45365062,3.05852798,29.96903944,10774643.942996174
570,5690,Render Token,RNDR,render-token,6,2020-06-11T00:00:00.000Z,536870912.0,109875629.0,504793762.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24'}",571,0.09826557824154,12021.91395297,-1.29043048,-7.03305738,-5.46086725,10796992.218337921
571,67,Unobtanium,UNO,unobtanium,6,2013-12-21T00:00:00.000Z,,203276.00151896,203276.00151896,,572,52.84205421083926,1268.71175611,-26.63575489,-19.12635608,-27.61075398,10741521.492027527
572,3195,Credit Tag Chain,CTC,credit-tag-chain,1,2018-08-22T00:00:00.000Z,,59746852.0,933352040.0,,573,0.17954975360611,0.0,-5.53344223,-7.43029936,22.44748487,10727532.55534072
